"","release_year","genre_early_main","percent"
"260",1984,"Progressive Metal",0.0184615384615385
"261",1985,"Progressive Metal",0.0106666666666667
"262",1986,"Progressive Metal",0.0213333333333333
"263",1987,"Progressive Metal",0.00236406619385343
"264",1988,"Progressive Metal",0.0180995475113122
"265",1989,"Progressive Metal",0.02
"266",1990,"Progressive Metal",0.0202205882352941
"267",1991,"Progressive Metal",0.0212014134275618
"268",1992,"Progressive Metal",0.0189873417721519
"269",1993,"Progressive Metal",0.0347003154574132
"270",1994,"Progressive Metal",0.0471698113207547
"271",1995,"Progressive Metal",0.0334788937409025
"272",1996,"Progressive Metal",0.0358680057388809
"273",1997,"Progressive Metal",0.04
"274",1998,"Progressive Metal",0.035264483627204
"275",1999,"Progressive Metal",0.0303358613217768
"276",2000,"Progressive Metal",0.0371155885471898
"277",2001,"Progressive Metal",0.0443438914027149
"278",2002,"Progressive Metal",0.040488922841864
"279",2003,"Progressive Metal",0.0365699873896595
"280",2004,"Progressive Metal",0.0316766794101584
"281",2005,"Progressive Metal",0.0310398344542162
"282",2006,"Progressive Metal",0.0322896281800391
"283",2007,"Progressive Metal",0.0335403726708075
"284",2008,"Progressive Metal",0.0369928400954654
"285",2009,"Progressive Metal",0.0409282700421941
"286",2010,"Progressive Metal",0.0301284891448826
"287",2011,"Progressive Metal",0.0371650821089023
"288",2012,"Progressive Metal",0.028804815133276
"289",2013,"Progressive Metal",0.0335820895522388
"290",2014,"Progressive Metal",0.0271764163979733
"291",2015,"Progressive Metal",0.0291159343568025
"292",2016,"Progressive Metal",0.0288865546218487
"293",2017,"Progressive Metal",0.0281425891181989
"294",2018,"Progressive Metal",0.0318076027928627
"295",1970,"Black Metal",0
"296",1971,"Black Metal",0
"297",1972,"Black Metal",0
"298",1973,"Black Metal",0
"299",1974,"Black Metal",0
"300",1975,"Black Metal",0
"301",1976,"Black Metal",0
"302",1977,"Black Metal",0
"303",1978,"Black Metal",0
"304",1979,"Black Metal",0
"305",1980,"Black Metal",0
"306",1981,"Black Metal",0
"307",1982,"Black Metal",0
"308",1983,"Black Metal",0.0144927536231884
"309",1984,"Black Metal",0.00923076923076923
"310",1985,"Black Metal",0.008
"311",1986,"Black Metal",0.016
"312",1987,"Black Metal",0.0236406619385343
"313",1988,"Black Metal",0.0248868778280543
"314",1989,"Black Metal",0.022
"315",1990,"Black Metal",0.0330882352941176
"316",1991,"Black Metal",0.0335689045936396
"317",1992,"Black Metal",0.0727848101265823
"318",1993,"Black Metal",0.146687697160883
"319",1994,"Black Metal",0.19496855345912
"320",1995,"Black Metal",0.240174672489083
"321",1996,"Black Metal",0.27116212338594
"322",1997,"Black Metal",0.259310344827586
"323",1998,"Black Metal",0.254408060453401
"324",1999,"Black Metal",0.273022751895991
"325",2000,"Black Metal",0.236479321314952
"326",2001,"Black Metal",0.270588235294118
"327",2002,"Black Metal",0.239113827349121
"328",2003,"Black Metal",0.290668348045397
"329",2004,"Black Metal",0.292736209721464
"330",2005,"Black Metal",0.289705121572685
"331",2006,"Black Metal",0.292074363992172
"332",2007,"Black Metal",0.289026915113872
"333",2008,"Black Metal",0.27406523468576
